,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Caravelas,BR,-17.7125,-39.2481,81.57,67,13,10.78,few clouds
80,Grindavik,IS,63.8424,-22.4338,52.27,82,100,47.18,moderate rain
81,Turukhansk,RU,65.8167,87.9833,-6.14,73,38,13.76,scattered clouds
82,Hobyo,SO,5.3505,48.5268,80.89,73,1,15.32,clear sky
83,Chiredzi,ZW,-21.05,31.6667,71.87,90,100,7.07,moderate rain
84,Oltu,TR,40.5498,42.0013,39.67,89,6,2.64,clear sky
85,Teguldet,RU,57.3064,88.1667,32.86,97,100,11.18,light snow
86,Mehkerek,HU,46.7833,21.45,45.55,64,10,4.07,clear sky
87,Qaqortoq,GL,60.7167,-46.0333,31.37,80,100,9.35,overcast clouds
88,Wilson,US,36.1501,-86.2833,39.49,57,100,8.05,overcast clouds
89,Iqaluit,CA,63.7506,-68.5145,14.77,89,100,3.89,overcast clouds
90,Aasiaat,GL,68.7098,-52.8699,17.56,99,100,3.47,overcast clouds
91,Nara,JP,34.6851,135.8049,57.49,59,48,10.22,scattered clouds
92,Tabas,IR,33.5959,56.9244,54.37,46,0,2.95,clear sky
93,Alpena,US,45.0617,-83.4327,32.25,69,100,11.5,overcast clouds
94,Kuyanovo,RU,55.8014,54.5372,34.75,86,100,17.9,light snow
95,Pontes E Lacerda,BR,-15.2261,-59.3353,98.51,27,95,9.42,overcast clouds
96,Padang,ID,-0.9492,100.3543,75.02,95,100,0.54,light rain
97,Torbay,CA,47.6666,-52.7314,37.76,89,100,1.01,overcast clouds
98,Parrita,CR,9.5201,-84.3225,87.26,78,41,6.06,scattered clouds
99,Sabla,NG,12.7525,4.7077,82.09,18,0,10.36,clear sky
100,Inhambane,MZ,-23.865,35.3833,78.58,84,100,6.76,light rain
101,Clearwater,US,27.9659,-82.8001,76.01,79,100,16.11,overcast clouds
102,Dhankuta,NP,26.9833,87.3333,51.37,88,0,5.61,clear sky
103,Ipubi,BR,-7.6519,-40.1489,91.4,32,29,6.58,scattered clouds
