,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
345,Ayagoz,KZ,47.9714,80.4392,28.56,76,23,5.64,few clouds
346,Sol-Iletsk,RU,51.1631,54.9918,38.5,96,100,25.77,overcast clouds
347,Goderich,CA,43.7501,-81.7165,36.91,72,100,21.34,snow
348,Portsmouth,GB,50.799,-1.0913,57.02,95,19,5.01,few clouds
349,Aden,YE,12.7794,45.0367,79.41,69,0,9.82,clear sky
350,Vilhena,BR,-12.7406,-60.1458,89.29,38,93,7.61,overcast clouds
351,Phalombe,MW,-15.8064,35.6507,80.17,43,98,3.67,overcast clouds
352,Kharp,RU,66.8014,65.8081,1.31,89,100,5.08,overcast clouds
353,Tocopilla,CL,-22.092,-70.1979,69.94,56,21,5.97,few clouds
354,Zemio,CF,5.0314,25.1361,73.33,59,12,2.59,few clouds
355,Saquarema,BR,-22.92,-42.5103,80.64,81,87,5.35,overcast clouds
356,Dudinka,RU,69.4058,86.1778,-32.71,98,17,3.24,few clouds
357,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,74.79,73,100,11.1,light rain
358,Karaton,ID,-6.3424,106.1045,74.08,97,100,4.41,overcast clouds
359,Leshukonskoye,RU,64.8989,45.7622,24.48,91,93,8.39,overcast clouds
360,Clarence Town,AU,-32.5833,151.7833,70.95,97,95,3.11,moderate rain
361,Krasnoselkup,RU,65.7,82.4667,-13.76,87,5,9.73,clear sky
362,Maldonado,UY,-34.6667,-54.9167,73.22,75,100,12.57,overcast clouds
363,Fethiye,TR,36.6217,29.1164,53.47,47,2,4.23,clear sky
364,Kaduqli,SD,11.0167,29.7167,76.57,21,35,7.87,scattered clouds
365,Muros,ES,42.7762,-9.0603,59.68,92,100,9.64,light rain
366,Salinopolis,BR,-0.6136,-47.3561,83.75,70,48,11.25,scattered clouds
367,Belmonte,BR,-15.8631,-38.8828,80.56,72,100,9.86,overcast clouds
368,Chicama,PE,-7.8447,-79.1469,63.14,56,41,11.36,scattered clouds
369,Camapua,BR,-19.5314,-54.0439,94.05,32,65,13.33,broken clouds
370,Ouargaye,BF,11.5033,0.0572,89.71,26,80,6.89,broken clouds
371,Tougue,GN,11.4667,-11.6,74.17,49,15,3.6,few clouds
372,Barao De Melgaco,BR,-16.1944,-55.9675,92.82,37,73,3.56,broken clouds
373,Kapoeta,SS,4.7717,33.5903,81.93,47,88,7.23,overcast clouds
374,Marystown,CA,47.1666,-55.1483,39.85,100,100,8.16,overcast clouds
375,Artigas,UY,-30.4,-56.4667,69.6,85,100,4.14,light rain
376,Ambilobe,MG,-13.2,49.05,74.75,82,0,3.6,clear sky
377,Ginda,IN,30.6945,78.4932,51.85,38,100,4.92,overcast clouds
378,Abu Kamal,SY,34.4506,40.9171,65.19,38,0,2.28,clear sky
379,Carahue,CL,-38.7,-73.1667,64.49,60,51,8.14,broken clouds
380,Sept-Iles,CA,50.2001,-66.3821,28.06,89,100,4.0,overcast clouds
381,Pascagoula,US,30.3658,-88.5561,57.92,45,0,13.8,clear sky
382,Villa Alemana,CL,-33.0422,-71.3733,71.91,43,0,17.27,clear sky
383,Tatui,BR,-23.3556,-47.8569,88.88,34,16,5.95,few clouds
384,Yaypan,UZ,40.3758,70.8156,45.59,48,43,3.65,scattered clouds
385,Aswan,EG,24.0934,32.907,75.56,34,0,14.54,clear sky
386,Mazarron,ES,37.5992,-1.3149,65.44,83,6,2.89,clear sky
387,Oboyan,RU,51.2098,36.2792,42.22,71,100,15.28,overcast clouds
388,Vylkove,UA,45.4021,29.586,50.25,73,3,7.56,clear sky
389,Itaituba,BR,-4.2761,-55.9836,96.96,49,20,8.05,few clouds
390,Lethem,GY,3.3803,-59.7968,87.35,63,82,2.86,broken clouds
391,Upington,ZA,-28.4478,21.2561,71.98,23,0,2.3,clear sky
392,Skjervoy,NO,70.0311,20.9714,35.6,75,87,10.78,overcast clouds
393,Bilma,NE,18.6853,12.9164,72.27,20,0,8.66,clear sky
394,Adrar,MR,20.5022,-10.0711,78.85,12,4,7.65,clear sky
395,Nassau,US,40.7507,-73.5829,53.94,59,20,13.8,few clouds
396,Nchelenge,ZM,-9.3451,28.734,68.05,86,38,2.84,scattered clouds
397,Maine-Soroa,NE,13.2114,12.0241,78.17,19,89,8.86,overcast clouds
398,Lagoa,PT,39.05,-27.9833,62.42,70,100,21.41,overcast clouds
399,Independence,US,39.0911,-94.4155,40.1,54,0,8.05,clear sky
400,Tarabha,IN,20.7333,83.65,63.18,60,2,2.44,clear sky
401,Carnarvon,AU,-24.8667,113.6333,67.46,71,0,18.79,clear sky
402,Swidnik,PL,51.219,22.6962,44.69,100,100,2.3,light intensity drizzle
403,Rudnichnyy,RU,59.617,52.4703,28.38,93,100,9.26,light snow
404,Waddan,LY,29.1614,16.139,67.51,40,30,4.72,scattered clouds
405,Marzuq,YE,14.4,46.4667,66.49,45,0,2.39,clear sky
406,Mhlume,SZ,-26.0333,31.85,68.16,90,100,10.54,overcast clouds
407,Murcia,ES,38.0,-1.5,61.81,80,12,3.4,few clouds
408,Thompson,CA,55.7435,-97.8558,14.16,79,75,3.44,broken clouds
409,Amapa,BR,1.0,-52.0,83.7,68,100,2.53,overcast clouds
410,Pastavy,BY,55.1168,26.8326,40.35,92,6,5.35,clear sky
411,Sao Joao De Pirabas,BR,-0.7747,-47.1772,83.93,68,54,9.51,broken clouds
412,Carutapera,BR,-1.195,-46.02,84.49,64,41,9.51,scattered clouds
413,Lodwar,KE,3.1191,35.5973,87.19,39,99,18.92,overcast clouds
414,Hofn,IS,64.2539,-15.2082,45.81,91,100,17.81,overcast clouds
415,Lusambo,CD,-4.9667,23.45,70.56,98,100,2.24,moderate rain
416,George Town,MY,5.4112,100.3354,80.24,93,20,3.44,few clouds
417,Palakollu,IN,16.5333,81.7333,73.83,79,0,3.85,clear sky
418,Tazovskiy,RU,67.4667,78.7,-17.0,91,100,7.23,overcast clouds
419,Qasigiannguit,GL,68.8193,-51.1922,28.65,85,99,2.84,overcast clouds
420,Qunduz,AF,36.729,68.857,50.09,67,100,5.66,overcast clouds
421,Shahdadpur,PK,25.9241,68.62,77.9,49,0,13.42,clear sky
422,Sestri Levante,IT,44.2732,9.3968,58.06,68,100,3.0,overcast clouds
423,Viru,PE,-8.4167,-78.75,73.62,57,55,11.79,broken clouds
424,Tekeli,KZ,44.83,78.8239,29.86,42,0,9.53,clear sky
425,Crato,BR,-7.2342,-39.4094,89.31,51,40,4.61,scattered clouds
426,Gusau,NG,12.1628,6.6614,79.3,23,95,8.55,overcast clouds
427,Nador,MA,35.174,-2.9287,66.45,82,20,3.44,few clouds
428,Cochrane,CA,51.1834,-114.4687,32.4,47,100,4.83,overcast clouds
429,Semirom,IR,31.4167,51.5667,43.32,65,0,2.19,clear sky
430,Ashford,GB,51.1459,0.8728,55.09,90,82,7.2,broken clouds
431,Teya,RU,60.3778,92.6267,22.69,97,100,3.33,snow
432,Solwezi,ZM,-12.1688,26.3894,62.44,96,100,4.12,overcast clouds
433,Basse,DE,52.5518,9.5069,46.47,93,100,14.97,mist
434,Namwala,ZM,-15.7504,26.4384,71.73,75,100,1.99,overcast clouds
435,Bataipora,BR,-22.2953,-53.2711,91.29,39,53,6.62,broken clouds
436,Ondjiva,AO,-17.0667,15.7333,76.53,14,9,7.94,clear sky
437,Arivonimamo,MG,-19.0167,47.1833,64.45,80,34,9.4,scattered clouds
438,Sao Felix Do Xingu,BR,-6.6447,-51.995,92.89,40,81,3.22,broken clouds
439,Jamai,IN,22.2,78.5833,59.34,50,0,3.53,clear sky
440,Mizdah,LY,31.4451,12.9801,60.08,42,4,1.12,clear sky
441,Sorland,NO,67.667,12.6934,46.26,82,100,14.94,overcast clouds
442,Diamantino,BR,-14.4086,-56.4461,89.6,47,98,4.29,overcast clouds
443,Edgewater,US,28.9889,-80.9023,77.02,88,100,14.97,overcast clouds
444,Kankakee,US,41.15,-87.8667,37.06,53,40,8.05,scattered clouds
445,Kamina,CD,-8.7386,24.9906,64.54,96,100,3.76,overcast clouds
446,Pisco,PE,-13.7,-76.2167,68.05,73,75,8.05,haze
447,Urumqi,CN,43.801,87.6005,29.35,86,6,4.47,clear sky
448,Carinhanha,BR,-14.3047,-43.765,88.36,46,100,2.04,overcast clouds
449,Zaykovo,RU,57.5613,62.7568,32.74,98,100,11.56,snow
450,Sundargarh,IN,22.1167,84.0333,61.68,58,5,3.96,clear sky
451,Ampanihy,MG,-24.7,44.75,72.86,75,0,6.31,clear sky
452,Bonwapitse,BW,-23.0766,26.7037,74.59,54,14,2.82,light rain
453,Kavaratti,IN,10.5669,72.642,80.11,77,96,1.97,overcast clouds
454,Werda,BW,-25.2667,23.2833,74.12,32,0,10.89,clear sky
455,Jacareacanga,BR,-6.2222,-57.7528,100.94,28,37,3.04,scattered clouds
456,Laguna,US,38.421,-121.4238,59.14,49,0,14.97,clear sky
457,Atouguia Da Baleia,PT,39.3381,-9.3263,64.02,96,100,12.33,overcast clouds
458,Lovozero,RU,68.005,35.0117,25.81,94,100,8.23,overcast clouds
459,Dombasle-Sur-Meurthe,FR,48.6252,6.3497,42.78,93,100,8.05,overcast clouds
460,Zanjan,IR,36.6736,48.4787,44.87,47,0,2.24,clear sky
461,Plettenberg Bay,ZA,-34.0527,23.3716,58.51,83,0,4.36,clear sky
462,Muscat,OM,23.6139,58.5922,77.02,49,0,3.27,clear sky
463,Zatyshshya,UA,47.3335,29.8733,44.35,90,1,7.43,clear sky
464,Berlevag,NO,70.8578,29.0864,35.6,80,100,13.8,overcast clouds
465,Sharon,US,41.2331,-80.4934,39.15,72,75,12.66,broken clouds
466,Saint-Joseph,RE,-21.3667,55.6167,70.18,85,73,13.6,light rain
467,Bembereke,BJ,10.2283,2.6634,79.43,34,14,5.37,few clouds
468,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,76,100,6.35,overcast clouds
469,Grand Gaube,MU,-20.0064,57.6608,72.37,69,0,1.99,clear sky
470,Harnosand,SE,62.6323,17.9379,32.02,81,66,4.76,broken clouds
471,Huarmey,PE,-10.0681,-78.1522,69.55,71,40,10.42,scattered clouds
472,Tsabong,BW,-26.0217,22.401,73.96,19,0,11.12,clear sky
473,Fereydun Kenar,IR,36.6864,52.5225,57.42,88,0,2.3,clear sky
474,Jurmala,LV,56.968,23.7704,33.82,93,100,2.3,fog
475,Hare Bay,CA,48.8499,-54.0148,31.6,90,100,4.07,overcast clouds
476,Saint-Francois,FR,46.4154,3.9054,45.84,100,0,2.3,clear sky
477,Borkenes,NO,68.774,16.1739,44.38,100,84,18.01,broken clouds
478,Ugoofaaru,MV,5.6667,73.0,81.48,73,100,8.66,overcast clouds
479,Sumbawanga,TZ,-7.9667,31.6167,59.36,88,75,2.37,broken clouds
480,Ibipeba,BR,-11.6408,-42.0111,84.58,44,81,7.94,broken clouds
481,Letnyaya Stavka,RU,45.4306,43.4472,48.0,79,32,25.23,scattered clouds
482,Ankazobe,MG,-18.3167,47.1167,67.15,71,98,8.57,overcast clouds
483,Iglesias,IT,39.3114,8.535,57.79,71,100,1.36,overcast clouds
484,Altay,CN,47.8667,88.1167,25.99,65,96,6.6,overcast clouds
485,Umm Lajj,SA,25.0213,37.2685,79.63,61,0,9.6,clear sky
486,Puerto Madryn,AR,-42.7692,-65.0385,71.11,39,100,1.32,overcast clouds
487,Meulaboh,ID,4.1363,96.1285,74.07,94,100,4.27,overcast clouds
488,Vozhega,RU,60.4725,40.2213,28.22,74,100,13.24,overcast clouds
489,Tpig,RU,41.7801,47.589,38.26,43,93,3.69,overcast clouds
490,Arkhangelsk,RU,64.5401,40.5433,32.11,92,40,4.47,scattered clouds
491,Nicoya,CR,10.1483,-85.452,83.84,73,88,3.38,overcast clouds
492,Glubokiy,RU,48.5217,40.3258,45.14,76,47,13.42,scattered clouds
493,Rincon,US,32.296,-81.2354,62.85,49,40,13.8,scattered clouds
494,Glens Falls,US,43.3095,-73.644,48.15,74,100,16.11,light rain
495,Paraopeba,BR,-19.2757,-44.4033,80.83,54,100,3.69,overcast clouds
496,Hella,NO,67.2,14.4333,46.89,89,100,16.11,overcast clouds
497,Kutum,SD,14.2,24.6667,69.49,23,0,12.17,clear sky
498,Vuktyl,RU,63.8567,57.3094,15.26,96,100,4.54,light snow
499,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,38,3.44,scattered clouds
500,Titisee-Neustadt,DE,47.9,8.1667,37.35,94,0,1.01,clear sky
501,Malakal,SS,9.5334,31.6605,79.61,25,25,5.44,scattered clouds
502,Ndola,ZM,-12.9587,28.6366,64.24,88,59,3.4,broken clouds
503,Lisakovsk,KZ,52.5369,62.4936,37.15,96,100,18.59,overcast clouds
504,Kemijarvi,FI,66.7131,27.4306,26.17,97,100,2.68,overcast clouds
505,Akhmeta,GE,42.0311,45.2075,52.32,77,8,7.96,clear sky
506,Rognan,NO,67.0953,15.3878,46.89,92,83,6.15,broken clouds
507,Prenzlau,DE,53.3167,13.8667,51.22,90,53,8.23,broken clouds
508,Passo Fundo,BR,-28.2628,-52.4067,65.16,92,100,13.58,light rain
509,Ormara,PK,25.2088,64.6357,80.33,73,0,12.73,clear sky
510,Bogovarovo,RU,58.9785,47.0246,29.16,84,97,15.84,overcast clouds
511,Lembeni,TZ,-3.7833,37.6167,70.9,70,47,7.27,scattered clouds
512,Yeysk,RU,46.6989,38.2792,48.81,86,44,16.82,scattered clouds
513,Coxim,BR,-18.5067,-54.76,94.03,34,91,12.06,overcast clouds
514,Zorritos,PE,-3.6805,-80.6782,75.49,73,61,9.91,broken clouds
515,Mingoyo,TZ,-10.1,39.6333,72.79,88,2,2.71,clear sky
516,Porto Belo,BR,-27.1578,-48.5531,81.09,82,100,10.98,overcast clouds
517,Micheweni,TZ,-4.9667,39.8333,77.83,80,11,9.06,few clouds
518,Jumla,NP,29.2747,82.1838,41.77,47,51,4.68,broken clouds
519,Kidal,ML,18.4411,1.4078,80.89,15,98,11.48,overcast clouds
520,Khunti,IN,23.0833,85.2833,59.11,52,0,4.59,clear sky
521,Adre,TD,13.4667,22.2,74.95,23,0,10.98,clear sky
522,Wawa,NG,9.9022,4.4192,82.62,30,100,2.06,overcast clouds
523,Zharkent,KZ,44.1628,80.0,36.14,34,0,0.65,clear sky
524,Mutum,BR,-19.8,-41.4383,88.72,47,46,0.87,scattered clouds
525,Puerto Narino,CO,-3.7703,-70.3831,87.93,63,100,1.5,overcast clouds
526,Olinda,BR,-8.0089,-34.8553,82.13,65,75,8.05,broken clouds
527,Sergeyevka,KZ,53.88,67.4158,34.25,97,100,21.25,light snow
528,Ekibastuz,KZ,51.6667,75.3667,32.34,58,100,23.64,overcast clouds
529,Jales,BR,-20.2689,-50.5458,92.23,30,100,9.86,overcast clouds
530,Ntcheu,MW,-14.8203,34.6359,75.04,44,90,0.69,overcast clouds
531,Danilov,RU,58.1908,40.1717,33.69,71,98,15.48,overcast clouds
532,Freeport,US,40.6576,-73.5832,54.18,58,20,18.41,few clouds
533,Santa Cruz,BO,-17.8,-63.1667,91.45,55,40,27.63,scattered clouds
534,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.0,74,20,2.3,few clouds
535,Vilcun,CL,-38.65,-72.2333,61.54,75,34,5.95,scattered clouds
536,Oussouye,SN,12.485,-16.5469,82.58,58,93,6.64,overcast clouds
537,Bardiyah,LY,31.7561,25.0865,65.28,60,0,7.23,clear sky
538,San-Pedro,CI,4.7485,-6.6363,78.93,82,75,6.51,broken clouds
539,Mogadishu,SO,2.0371,45.3438,79.36,80,12,11.34,few clouds
540,Patamundai,IN,20.5667,86.5667,68.27,58,0,4.83,clear sky
541,Sao Filipe,CV,14.8961,-24.4956,77.61,74,85,8.55,overcast clouds
542,Benghazi,LY,32.1167,20.0667,69.19,48,0,0.87,clear sky
543,Berja,ES,36.8469,-2.9497,65.77,73,1,4.59,clear sky
544,Buchanan,LR,5.8808,-10.0467,78.3,85,99,6.89,moderate rain
545,Mulanje,MW,-16.0316,35.5,79.99,47,92,4.47,overcast clouds
546,Salinas,US,36.6777,-121.6555,60.84,50,0,6.91,clear sky
547,Constantine,DZ,36.365,6.6147,60.21,63,40,0.0,scattered clouds
548,Bama,NG,11.5221,13.6856,76.93,26,29,10.31,scattered clouds
549,Sawakin,SD,19.1059,37.3321,82.87,65,13,5.55,few clouds
550,Trelew,AR,-43.249,-65.3051,75.09,30,99,13.49,overcast clouds
551,Sile,TR,41.1754,29.6133,59.58,69,99,5.01,overcast clouds
552,Beni,CD,0.5,29.4667,62.49,99,100,1.54,light rain
553,Grenaa,DK,56.4158,10.8783,52.02,93,100,11.65,overcast clouds
554,Damaturu,NG,11.747,11.9608,77.92,22,100,10.45,overcast clouds
555,Usinsk,RU,65.9939,57.5281,9.72,95,100,9.37,light snow
556,Zirl,AT,47.3028,11.2745,33.3,76,0,6.91,clear sky
557,Kargopol,RU,61.5071,38.9456,28.47,67,27,11.81,scattered clouds
558,Medea,DZ,36.2642,2.7539,57.65,45,5,3.06,clear sky
559,Edd,ER,13.9297,41.6925,82.85,63,0,18.63,clear sky
560,Novyy Yegorlyk,RU,46.3927,41.8716,46.69,88,21,19.08,few clouds
561,Sao Borja,BR,-28.6606,-56.0044,79.21,57,100,1.23,light rain
562,Sao Sebastiao,BR,-23.76,-45.4097,75.7,81,50,4.72,scattered clouds
563,Kaniama,CD,-7.5667,24.1833,67.17,97,100,4.12,moderate rain
564,Soissons,FR,49.3333,3.3333,43.41,71,4,4.56,clear sky
565,Sim,RU,54.993,57.6982,33.73,99,100,4.83,light snow
566,Gasa,PS,31.5,34.4667,73.29,62,0,12.53,clear sky
567,Grand-Santi,GF,4.25,-54.3833,83.89,69,88,2.39,overcast clouds
568,San Juan,AR,-31.5375,-68.5364,75.24,26,21,14.56,few clouds
569,Kamenka,RU,51.3223,42.7678,41.38,69,100,21.39,overcast clouds
570,Vila Do Maio,CV,15.1333,-23.2167,77.79,76,74,15.46,broken clouds
571,Senanga,ZM,-16.1167,23.2667,71.76,79,100,3.65,overcast clouds
572,Honavar,IN,14.2833,74.45,77.7,79,100,5.61,overcast clouds
573,Kayerkan,RU,69.3497,87.7602,-20.33,81,83,3.33,broken clouds
574,Ous,RU,60.9058,61.5186,12.25,93,100,10.58,overcast clouds
575,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,94.77,37,46,7.4,scattered clouds
576,Shenkursk,RU,62.1091,42.896,27.39,73,100,13.35,overcast clouds
577,Shatsk,RU,54.0258,41.7119,37.65,83,100,20.29,overcast clouds
578,Naron,ES,43.5167,-8.1528,60.04,93,100,11.83,light rain
579,Sakakah,SA,29.9697,40.2064,69.37,74,81,10.25,heavy intensity rain
580,Hun,LY,29.1268,15.9477,67.12,40,8,5.1,clear sky
581,Kisangani,CD,0.5167,25.2,70.52,95,52,2.66,broken clouds
582,Carlos Barbosa,BR,-29.2975,-51.5036,68.54,94,100,6.4,overcast clouds
583,Cafarnaum,BR,-11.6936,-41.4683,84.13,41,95,9.75,overcast clouds
584,Axim,GH,4.8699,-2.2405,78.73,83,100,5.61,light rain
585,Mosquera,CO,4.7059,-74.2302,64.49,63,40,13.8,thunderstorm
586,Valdivia,CL,-39.8142,-73.2459,60.89,97,99,3.96,overcast clouds
587,Prieska,ZA,-29.6641,22.7474,72.21,21,0,3.0,clear sky
588,Bajil,YE,15.0584,43.2851,81.86,62,2,4.27,clear sky
589,Onega,RU,63.9061,38.1404,31.05,79,13,11.07,light snow
590,Piranhas,BR,-16.4269,-51.8222,94.77,29,100,6.64,overcast clouds
591,Ilebo,CD,-4.3167,20.5833,70.54,98,88,2.39,light rain
592,Liwale,TZ,-9.7667,37.9333,73.42,55,0,6.35,clear sky
593,Urrao,CO,6.3152,-76.1342,61.86,95,91,3.09,overcast clouds
594,Benin,BJ,9.5,2.25,83.26,39,33,3.42,scattered clouds
595,General Roca,AR,-39.0333,-67.5833,73.42,26,6,22.84,clear sky
596,Charlottesville,US,38.0293,-78.4767,53.67,43,0,13.8,clear sky
597,Lodja,CD,-3.4833,23.4333,70.45,98,100,1.36,overcast clouds
598,Ipixuna,BR,-1.7625,-48.8043,83.44,74,88,4.12,overcast clouds
599,Holetown,BB,13.1867,-59.6381,84.76,76,18,16.73,few clouds
600,Verkh-Suetka,RU,53.3,80.05,32.94,86,100,16.42,overcast clouds
601,Colquechaca,BO,-18.6667,-66.0167,53.65,4,12,23.15,few clouds
602,Tiznit,MA,29.5833,-9.5,70.32,26,24,0.25,few clouds
603,Carndonagh,IE,55.25,-7.2667,58.62,87,100,17.25,light rain
604,Baie-Comeau,CA,49.2168,-68.1489,33.48,86,100,17.27,overcast clouds
605,Lamu,KE,-2.2717,40.902,79.02,83,21,9.35,few clouds
606,Koslan,RU,63.4564,48.8989,19.33,85,100,13.94,overcast clouds
607,San Antonio,US,29.4241,-98.4936,61.2,28,0,8.05,clear sky
608,Constitucion,CL,-35.3333,-72.4167,62.22,64,10,7.99,clear sky
609,Pasni,PK,25.2631,63.471,79.5,76,0,10.0,clear sky
610,Paita,PE,-5.0892,-81.1144,69.75,69,42,16.58,scattered clouds
611,Viedma,AR,-40.8135,-62.9967,68.67,50,100,6.04,overcast clouds
612,Escanaba,US,45.7453,-87.0646,33.76,62,100,12.66,overcast clouds
613,Karkal,IN,13.2,74.9833,78.62,92,99,3.15,overcast clouds
614,Mungaa,TZ,-4.9667,34.8833,70.36,55,100,3.58,overcast clouds
615,Manaure,CO,11.7751,-72.4445,80.55,77,100,2.86,overcast clouds
616,Takoradi,GH,4.8845,-1.7554,79.29,80,100,5.66,light rain
617,Matagami,CA,49.7502,-77.6328,23.11,86,100,6.91,overcast clouds
618,Fort-Shevchenko,KZ,44.5086,50.263,50.23,83,100,29.3,overcast clouds
619,Gualaquiza,EC,-3.4,-78.55,79.56,62,98,3.49,light rain
620,Abu Dhabi,AE,24.4667,54.3667,84.22,71,0,3.44,clear sky
621,Kargasok,RU,59.0556,80.8572,12.7,99,75,1.63,broken clouds
622,Anori,BR,-3.7728,-61.6442,91.49,48,100,2.39,overcast clouds
623,Shetpe,KZ,44.1667,52.1167,46.44,81,100,24.76,overcast clouds
624,Lyubinskiy,RU,55.1542,72.6925,31.68,98,100,17.78,light snow
625,Mvangue,CM,2.9667,11.5167,71.85,80,68,1.07,broken clouds
626,Xuddur,SO,4.1213,43.8894,76.5,65,0,6.71,clear sky
627,Huancabamba,PE,-5.2386,-79.4506,74.59,30,8,8.61,clear sky
628,Beniganj,IN,27.2833,80.45,65.71,41,1,3.83,clear sky
629,Sokur,RU,55.2093,83.319,32.36,98,100,18.19,snow
630,Salobrena,ES,36.7428,-3.5872,66.47,78,2,5.23,clear sky
631,Najran,SA,17.4924,44.1277,66.85,34,0,3.31,clear sky
632,Carauari,BR,-4.8828,-66.8958,87.12,66,100,1.54,overcast clouds
633,Harindanga,IN,22.0383,88.3214,67.91,46,6,7.11,clear sky
634,Sechura,PE,-5.5569,-80.8222,73.87,57,53,16.53,broken clouds
635,Arlit,NE,18.7369,7.3853,77.65,15,0,13.33,clear sky
636,Igurusi,TZ,-8.85,33.85,72.72,59,78,1.77,broken clouds
637,Kars,TR,40.602,43.095,30.65,80,0,1.14,clear sky
638,Mrakovo,RU,52.7161,56.6244,34.03,99,100,10.2,snow
639,Varhaug,NO,58.6147,5.6457,50.68,85,100,13.87,overcast clouds
640,Black River,JM,18.0264,-77.8487,83.46,70,25,4.88,scattered clouds
641,Chardara,KZ,41.2547,67.9692,47.17,51,8,6.38,clear sky
642,Cap Malheureux,MU,-19.9842,57.6142,72.46,69,0,1.99,clear sky
643,Porto Novo,BJ,6.4965,2.6036,78.76,85,63,6.15,broken clouds
644,Korla,CN,41.7597,86.1469,34.93,52,0,2.26,clear sky
645,Pratapgarh,IN,24.0333,74.7833,65.86,36,0,7.14,clear sky
646,Pechenga,RU,69.5259,31.1703,22.87,97,48,4.92,scattered clouds
647,Elizabeth City,US,36.2946,-76.2511,59.02,57,0,9.22,clear sky
648,Omboue,GA,-1.5746,9.2618,76.53,88,88,8.41,overcast clouds
649,Havelock,US,34.8791,-76.9013,62.55,73,100,16.11,overcast clouds
650,Sacile,IT,45.9541,12.5029,55.76,78,100,4.0,overcast clouds
651,Floro,NO,61.5996,5.0328,55.47,82,75,11.5,broken clouds
652,Porangatu,BR,-13.4408,-49.1486,88.25,48,74,2.35,broken clouds
653,Guarapari,BR,-20.6667,-40.4975,80.89,82,100,14.32,overcast clouds
654,Ciudad Bolivar,VE,8.1222,-63.5497,90.55,51,77,7.27,broken clouds
655,Dogondoutchi,NE,13.6393,4.0287,85.87,16,5,8.86,clear sky
656,Cascais,PT,38.6979,-9.4215,66.94,100,40,13.0,light intensity shower rain
657,Monrovia,LR,6.3005,-10.7969,82.17,83,93,5.59,light rain
658,Antigonish,CA,45.6169,-61.9986,48.02,91,100,1.99,overcast clouds
659,Santa Cruz De Tenerife,ES,28.4682,-16.2546,77.88,57,20,5.01,fog
660,Turayf,SA,31.6725,38.6637,59.25,100,40,11.5,scattered clouds
661,Rawson,AR,-43.3002,-65.1023,72.48,35,99,12.82,overcast clouds
662,Kushmurun,KZ,52.4503,64.6311,36.91,98,100,21.27,light rain
663,Taltal,CL,-25.4,-70.4833,67.44,56,22,5.97,few clouds
664,Robertsport,LR,6.7533,-11.3686,79.34,81,100,5.19,light rain
665,Obuasi,GH,6.206,-1.6619,74.43,92,100,3.24,overcast clouds
666,Yuzhnyy,RU,53.2542,83.6936,34.18,75,75,20.13,broken clouds
667,Wamba,NG,8.9333,8.6,78.51,32,100,4.56,overcast clouds
668,Galabovo,BG,42.139,25.8673,54.39,76,14,3.24,few clouds
669,Marsa Matruh,EG,31.3525,27.2453,70.0,68,40,13.8,scattered clouds
670,Kirillov,RU,59.863,38.3813,31.32,74,95,12.84,overcast clouds
671,Ojhar,IN,20.1,73.9333,67.28,57,0,5.59,clear sky
672,Stribro,CZ,49.7529,13.0041,41.23,100,0,11.1,clear sky
673,Casalpusterlengo,IT,45.1769,9.6491,57.04,89,100,6.33,overcast clouds
674,Ati,TD,13.2154,18.3353,84.97,20,3,10.31,clear sky
675,La Romana,DO,18.4273,-68.9728,86.36,70,75,6.91,broken clouds
676,Grahamstown,ZA,-33.3042,26.5328,51.94,93,1,4.61,clear sky
677,Velsk,RU,61.0701,42.0983,27.3,74,100,14.45,overcast clouds
678,Santa Marta,CO,11.2408,-74.199,76.89,88,75,4.61,heavy intensity rain
679,Iralaya,HN,15.0,-83.2333,83.08,76,88,11.14,light rain
680,Mandali,IQ,33.7499,45.5541,69.01,29,0,8.01,clear sky
681,La Macarena,CO,2.1837,-73.7849,90.97,47,68,5.39,broken clouds
682,San Miguel,SV,13.4833,-88.1833,91.06,62,20,4.61,few clouds
683,Orumiyeh,IR,37.5527,45.0761,35.15,87,0,4.61,clear sky
684,Berbera,SO,10.4396,45.0143,80.49,60,0,4.92,clear sky
685,Mafinga,TZ,-7.25,35.0667,79.54,41,79,4.76,broken clouds
686,Iquique,CL,-20.2208,-70.1431,68.04,67,14,9.46,few clouds
687,Eastleigh,GB,50.9667,-1.35,57.38,95,75,1.14,broken clouds
688,Point Pedro,LK,9.8167,80.2333,79.38,82,100,8.9,moderate rain
689,Aksehir,TR,38.3575,31.4164,46.72,49,0,3.18,clear sky
690,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.37,64,13,5.93,moderate rain
691,Baghdad,IQ,33.3406,44.4009,62.51,77,0,4.61,clear sky
692,Bongandanga,CD,1.5,21.05,69.08,97,100,1.39,overcast clouds
693,Waw,SS,7.7029,27.9953,79.66,28,85,3.2,overcast clouds
694,Villa Rica,US,33.7321,-84.9191,49.23,66,0,12.41,clear sky
695,San Ignacio,BZ,17.1561,-89.0714,86.14,66,20,4.61,few clouds
